;estado;sigla;regiao;cidade;populacao;pib;pib_percapita
1813;PARAIBA;PB;NORDESTE;Pedro Regis;5822;23410.6640625;4021.07006836
1814;PARAIBA;PB;NORDESTE;Cacimba de Dentro;17654;61040.89453125;3457.62011719
1815;PARAIBA;PB;NORDESTE;Conde;20849;268318.09375;12869.58984375
1816;PARAIBA;PB;NORDESTE;Coremas;15709;57766.76171875;3677.30004883
1817;PARAIBA;PB;NORDESTE;Santa Cecilia;7244;28544.89453125;3940.48999023
1818;PARAIBA;PB;NORDESTE;Pitimbu;16832;88103.703125;5234.29980469
1819;PARAIBA;PB;NORDESTE;Guarabira;56136;383901.125;6838.77001953
1820;PARAIBA;PB;NORDESTE;Boqueirao;16360;98568.1171875;6024.95019531
1821;PARAIBA;PB;NORDESTE;Triunfo;9968;34377.05078125;3448.73999023
1822;PARAIBA;PB;NORDESTE;Pombal;32443;158469.953125;4884.56982422
1823;PARAIBA;PB;NORDESTE;Congo;4930;30035.15429688;6092.31982422
1824;PARAIBA;PB;NORDESTE;Varzea;2568;13316.390625;5185.50976562
1825;PARAIBA;PB;NORDESTE;Itapororoca;16573;104540.3515625;6307.87011719
1826;PARAIBA;PB;NORDESTE;Bonito de Santa Fe;10657;44123.16015625;4140.29980469
1827;PARAIBA;PB;NORDESTE;Aparecida;7607;30302.33789062;3983.47998047
1828;PARAIBA;PB;NORDESTE;Sao Domingos do Cariri;2341;11675.81152344;4987.52978516
1829;PARAIBA;PB;NORDESTE;Alagoa Grande;28126;106449.3359375;3784.72998047
1830;PARAIBA;PB;NORDESTE;Juazeirinho;16476;64330.44140625;3904.48999023
1831;PARAIBA;PB;NORDESTE;Capim;5458;22519.7109375;4126.0
1832;PARAIBA;PB;NORDESTE;Nazarezinho;7248;29003.875;4001.63989258
1833;PARAIBA;PB;NORDESTE;Sao Domingos;2822;12841.70410156;4550.56982422
1834;PARAIBA;PB;NORDESTE;Serraria;6798;28761.53125;4230.87988281
1835;PARAIBA;PB;NORDESTE;Casserengue;6985;26546.51367188;3800.5
1836;PARAIBA;PB;NORDESTE;Vista Serrana;3364;12908.87402344;3837.36010742
1837;PARAIBA;PB;NORDESTE;Fagundes;12183;46244.48828125;3795.82006836
1838;PARAIBA;PB;NORDESTE;Sao Joao do Rio do Peixe;18323;73621.5625;4017.98999023
1839;PARAIBA;PB;NORDESTE;Conceicao;17988;72604.3203125;4036.26000977
